"Notes"	"Age of Mother 9"	"Age of Mother 9 Code"	"Mother's Pre-pregnancy Weight"	"Mother's Pre-pregnancy Weight Code"	"Mother's Weight Gain"	"Mother's Weight Gain Code"	Births
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"3 lbs"	"3"	1178
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"4 lbs"	"4"	1384
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"5 lbs"	"5"	1952
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"6 lbs"	"6"	1754
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"7 lbs"	"7"	2015
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"8 lbs"	"8"	2355
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"9 lbs"	"9"	2397
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"10 lbs"	"10"	4394
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"11 lbs"	"11"	3298
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"12 lbs"	"12"	3794
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"13 lbs"	"13"	4018
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"14 lbs"	"14"	4280
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"15 lbs"	"15"	6464
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"16 lbs"	"16"	4999
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"17 lbs"	"17"	5487
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"18 lbs"	"18"	6056
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"19 lbs"	"19"	5893
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"20 lbs"	"20"	12523
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"21 lbs"	"21"	6658
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"22 lbs"	"22"	8158
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"23 lbs"	"23"	7622
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"24 lbs"	"24"	7972
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"25 lbs"	"25"	10917
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"26 lbs"	"26"	8101
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"27 lbs"	"27"	8080
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"28 lbs"	"28"	8629
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"29 lbs"	"29"	7788
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"30 lbs"	"30"	14317
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"31 lbs"	"31"	7829
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"32 lbs"	"32"	8198
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"33 lbs"	"33"	8051
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"34 lbs"	"34"	7483
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"35 lbs"	"35"	10197
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"36 lbs"	"36"	7074
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"37 lbs"	"37"	6974
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"38 lbs"	"38"	6795
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"39 lbs"	"39"	6041
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"40 lbs"	"40"	9753
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"41 lbs"	"41"	5346
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"42 lbs"	"42"	5567
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"43 lbs"	"43"	5140
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"44 lbs"	"44"	4937
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"45 lbs"	"45"	6102
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"46 lbs"	"46"	4123
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"47 lbs"	"47"	3903
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"48 lbs"	"48"	3836
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"49 lbs"	"49"	3200
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"50 lbs"	"50"	5367
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"51 lbs"	"51"	2747
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"52 lbs"	"52"	2622
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"53 lbs"	"53"	2572
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"54 lbs"	"54"	2176
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"55 lbs"	"55"	2937
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"56 lbs"	"56"	1832
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"57 lbs"	"57"	1761
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"58 lbs"	"58"	1589
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"59 lbs"	"59"	1403
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"60 lbs"	"60"	2219
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"61 lbs"	"61"	1205
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"62 lbs"	"62"	1093
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"63 lbs"	"63"	962
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"64 lbs"	"64"	929
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"65 lbs"	"65"	1113
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"66 lbs"	"66"	731
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"67 lbs"	"67"	683
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"68 lbs"	"68"	653
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"69 lbs"	"69"	512
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"70 lbs"	"70"	947
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"71 lbs"	"71"	403
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"72 lbs"	"72"	409
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"73 lbs"	"73"	403
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"74 lbs"	"74"	331
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"75 lbs"	"75"	411
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"76 lbs"	"76"	231
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"77 lbs"	"77"	231
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"78 lbs"	"78"	228
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"79 lbs"	"79"	188
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"80 lbs"	"80"	344
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"81 lbs"	"81"	142
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"82 lbs"	"82"	136
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"83 lbs"	"83"	110
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"84 lbs"	"84"	119
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"85 lbs"	"85"	158
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"86 lbs"	"86"	86
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"87 lbs"	"87"	65
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"88 lbs"	"88"	78
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"89 lbs"	"89"	64
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"90 lbs"	"90"	103
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"91 lbs"	"91"	66
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"92 lbs"	"92"	52
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"93 lbs"	"93"	39
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"94 lbs"	"94"	34
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"95 lbs"	"95"	47
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"96 lbs"	"96"	21
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"97 lbs"	"97"	29
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"98 or more"	"98"	528
	"20-24 years"	"20-24"	"125 - 174 lbs"	"3"	"Unknown or Not Stated"	"99"	2700
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"0 lbs"	"0"	8084
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"1 lbs"	"1"	996
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"2 lbs"	"2"	1186
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"3 lbs"	"3"	1277
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"4 lbs"	"4"	1403
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"5 lbs"	"5"	1767
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"6 lbs"	"6"	1639
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"7 lbs"	"7"	1792
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"8 lbs"	"8"	1955
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"9 lbs"	"9"	1910
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"10 lbs"	"10"	2930
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"11 lbs"	"11"	2283
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"12 lbs"	"12"	2499
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"13 lbs"	"13"	2473
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"14 lbs"	"14"	2707
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"15 lbs"	"15"	3638
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"16 lbs"	"16"	2951
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"17 lbs"	"17"	2964
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"18 lbs"	"18"	3069
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"19 lbs"	"19"	2902
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"20 lbs"	"20"	5501
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"21 lbs"	"21"	3110
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"22 lbs"	"22"	3392
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"23 lbs"	"23"	3263
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"24 lbs"	"24"	3382
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"25 lbs"	"25"	4327
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"26 lbs"	"26"	3178
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"27 lbs"	"27"	3153
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"28 lbs"	"28"	3082
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"29 lbs"	"29"	2801
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"30 lbs"	"30"	5156
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"31 lbs"	"31"	2659
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"32 lbs"	"32"	2785
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"33 lbs"	"33"	2790
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"34 lbs"	"34"	2523
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"35 lbs"	"35"	3364
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"36 lbs"	"36"	2277
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"37 lbs"	"37"	2136
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"38 lbs"	"38"	2067
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"39 lbs"	"39"	1853
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"40 lbs"	"40"	3438
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"41 lbs"	"41"	1647
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"42 lbs"	"42"	1724
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"43 lbs"	"43"	1567
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"44 lbs"	"44"	1557
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"45 lbs"	"45"	1906
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"46 lbs"	"46"	1238
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"47 lbs"	"47"	1152
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"48 lbs"	"48"	1157
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"49 lbs"	"49"	950
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"50 lbs"	"50"	1885
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"51 lbs"	"51"	796
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"52 lbs"	"52"	859
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"53 lbs"	"53"	820
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"54 lbs"	"54"	702
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"55 lbs"	"55"	982
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"56 lbs"	"56"	648
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"57 lbs"	"57"	564
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"58 lbs"	"58"	566
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"59 lbs"	"59"	466
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"60 lbs"	"60"	911
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"61 lbs"	"61"	362
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"62 lbs"	"62"	349
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"63 lbs"	"63"	350
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"64 lbs"	"64"	324
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"65 lbs"	"65"	402
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"66 lbs"	"66"	265
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"67 lbs"	"67"	233
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"68 lbs"	"68"	242
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"69 lbs"	"69"	211
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"70 lbs"	"70"	389
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"71 lbs"	"71"	184
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"72 lbs"	"72"	156
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"73 lbs"	"73"	153
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"74 lbs"	"74"	140
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"75 lbs"	"75"	186
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"76 lbs"	"76"	92
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"77 lbs"	"77"	103
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"78 lbs"	"78"	95
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"79 lbs"	"79"	84
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"80 lbs"	"80"	172
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"81 lbs"	"81"	59
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"82 lbs"	"82"	59
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"83 lbs"	"83"	65
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"84 lbs"	"84"	48
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"85 lbs"	"85"	60
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"86 lbs"	"86"	45
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"87 lbs"	"87"	33
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"88 lbs"	"88"	42
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"89 lbs"	"89"	30
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"90 lbs"	"90"	56
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"91 lbs"	"91"	24
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"92 lbs"	"92"	24
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"93 lbs"	"93"	32
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"94 lbs"	"94"	25
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"95 lbs"	"95"	30
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"96 lbs"	"96"	22
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"97 lbs"	"97"	22
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"98 or more"	"98"	273
	"20-24 years"	"20-24"	"175 - 224 lbs"	"4"	"Unknown or Not Stated"	"99"	1695
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"0 lbs"	"0"	5043
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"1 lbs"	"1"	495
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"2 lbs"	"2"	617
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"3 lbs"	"3"	622
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"4 lbs"	"4"	660
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"5 lbs"	"5"	744
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"6 lbs"	"6"	732
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"7 lbs"	"7"	736
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"8 lbs"	"8"	821
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"9 lbs"	"9"	740
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"10 lbs"	"10"	1299
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"11 lbs"	"11"	874
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"12 lbs"	"12"	954
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"13 lbs"	"13"	935
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"14 lbs"	"14"	903
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"15 lbs"	"15"	1219
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"16 lbs"	"16"	948
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"17 lbs"	"17"	976
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"18 lbs"	"18"	978
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"19 lbs"	"19"	852
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"20 lbs"	"20"	1820
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"21 lbs"	"21"	905
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"22 lbs"	"22"	944
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"23 lbs"	"23"	913
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"24 lbs"	"24"	907
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"25 lbs"	"25"	1118
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"26 lbs"	"26"	790
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"27 lbs"	"27"	757
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"28 lbs"	"28"	752
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"29 lbs"	"29"	699
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"30 lbs"	"30"	1360
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"31 lbs"	"31"	619
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"32 lbs"	"32"	621
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"33 lbs"	"33"	567
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"34 lbs"	"34"	621
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"35 lbs"	"35"	731
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"36 lbs"	"36"	510
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"37 lbs"	"37"	457
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"38 lbs"	"38"	442
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"39 lbs"	"39"	416
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"40 lbs"	"40"	733
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"41 lbs"	"41"	324
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"42 lbs"	"42"	374
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"43 lbs"	"43"	290
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"44 lbs"	"44"	279
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"45 lbs"	"45"	392
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"46 lbs"	"46"	265
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"47 lbs"	"47"	245
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"48 lbs"	"48"	238
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"49 lbs"	"49"	209
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"50 lbs"	"50"	398
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"51 lbs"	"51"	179
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"52 lbs"	"52"	171
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"53 lbs"	"53"	175
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"54 lbs"	"54"	169
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"55 lbs"	"55"	200
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"56 lbs"	"56"	121
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"57 lbs"	"57"	113
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"58 lbs"	"58"	110
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"59 lbs"	"59"	95
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"60 lbs"	"60"	174
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"61 lbs"	"61"	68
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"62 lbs"	"62"	54
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"63 lbs"	"63"	66
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"64 lbs"	"64"	55
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"65 lbs"	"65"	97
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"66 lbs"	"66"	59
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"67 lbs"	"67"	61
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"68 lbs"	"68"	51
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"69 lbs"	"69"	40
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"70 lbs"	"70"	63
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"71 lbs"	"71"	34
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"72 lbs"	"72"	31
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"73 lbs"	"73"	35
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"74 lbs"	"74"	22
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"75 lbs"	"75"	26
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"76 lbs"	"76"	27
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"77 lbs"	"77"	28
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"78 lbs"	"78"	29
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"79 lbs"	"79"	26
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"80 lbs"	"80"	36
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"81 lbs"	"81"	13
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"82 lbs"	"82"	17
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"83 lbs"	"83"	11
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"84 lbs"	"84"	6
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"85 lbs"	"85"	19
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"86 lbs"	"86"	12
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"87 lbs"	"87"	11
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"88 lbs"	"88"	3
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"89 lbs"	"89"	9
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"90 lbs"	"90"	14
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"91 lbs"	"91"	7
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"92 lbs"	"92"	8
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"93 lbs"	"93"	3
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"94 lbs"	"94"	5
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"95 lbs"	"95"	7
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"96 lbs"	"96"	5
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"97 lbs"	"97"	2
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"98 or more"	"98"	71
	"20-24 years"	"20-24"	"225 - 274 lbs"	"5"	"Unknown or Not Stated"	"99"	1147
	"20-24 years"	"20-24"	"275 - 324 lbs"	"6"	"0 lbs"	"0"	1464
	"20-24 years"	"20-24"	"275 - 324 lbs"	"6"	"1 lbs"	"1"	119
	"20-24 years"	"20-24"	"275 - 324 lbs"	"6"	"2 lbs"	"2"	139
	"20-24 years"	"20-24"	"275 - 324 lbs"	"6"	"3 lbs"	"3"	163
	"20-24 years"	"20-24"	"275 - 324 lbs"	"6"	"4 lbs"	"4"	159
	"20-24 years"	"20-24"	"275 - 324 lbs"	"6"	"5 lbs"	"5"	140
	"20-24 years"	"20-24"	"275 - 324 lbs"	"6"	"6 lbs"	"6"	175
	"20-24 years"	"20-24"	"275 - 324 lbs"	"6"	"7 lbs"	"7"	184
